Customer ID,I,Iu,Imax,Entropy,BasketNum,SumExp,AvgExp
12347.0,253,126,62,5.301176212869798,8,5633.32,704.165
12348.0,51,25,20,3.4819415614339264,5,2019.3999999999999,403.88
12349.0,175,138,73,4.774262181838184,4,4428.69,1107.1725
12350.0,17,17,17,2.7722240151810267,1,334.4,334.4
12351.0,21,21,21,3.0082150085496298,1,300.93,300.93
12352.0,103,70,18,4.096196657824074,10,2849.84,284.98400000000004
12353.0,24,23,20,3.060863621063247,2,406.76,203.38
12354.0,58,58,58,3.9747359363521366,1,1079.4,1079.4
12355.0,35,35,22,3.313311618080497,2,947.61,473.805
12356.0,143,104,37,4.408330276461466,6,6373.68,1062.28
12358.0,77,56,23,3.7349807362809533,5,3887.07,777.414
12359.0,365,305,105,5.599396355432956,10,8935.939999999999,893.5939999999998
12360.0,217,160,54,5.075399859270072,8,4252.889999999999,531.6112499999999
12361.0,29,18,10,3.3474600825809095,4,511.25,127.8125
12362.0,267,201,40,5.462928419948548,11,5356.23,486.92999999999995
12363.0,23,23,16,2.9758996673156983,2,552.0,276.0
12364.0,85,70,34,4.311546339557465,4,1313.1,328.275
12365.0,22,22,21,2.2021106234206274,2,641.38,320.69
12366.0,3,3,3,1.097888149349306,1,500.24,500.24
12367.0,11,11,11,2.3388432890712654,1,168.9,168.9
12368.0,18,18,18,2.7341129671784175,1,917.6999999999999,917.6999999999999
12369.0,93,90,75,4.178316163150252,3,1791.1499999999999,597.05
12370.0,202,168,83,4.9621435008998445,7,4320.3099999999995,617.1871428571428
12371.0,167,134,70,4.757979080128096,5,4067.38,813.476
12372.0,52,34,20,3.7688754395228314,3,1298.04,432.68
12373.0,51,36,21,3.7500690318973553,3,1127.65,375.8833333333334
12374.0,83,79,36,4.178017529676008,4,2989.2200000000003,747.3050000000001
12375.0,17,14,11,2.695201251976264,2,457.5,228.75
12376.0,13,11,11,2.2890448561381156,2,503.15,251.575
12377.0,152,129,47,4.8289579423284685,4,3426.32,856.58
12379.0,81,58,23,4.2902032467140385,4,1620.22,405.055
12380.0,277,156,51,4.90242605414605,11,9676.300000000001,879.6636363636364
12381.0,87,70,62,4.164022796644898,5,1845.31,369.062
12383.0,99,84,37,4.415138018982993,5,1850.56,370.11199999999997
12384.0,27,26,14,3.0924059026798356,2,585.27,292.635
12385.0,65,65,65,3.8308701662247646,1,1938.4,1938.4
12386.0,18,10,16,2.7556655665317646,2,660.8,330.4
12387.0,9,9,9,2.1060807689748495,1,143.94,143.94
12388.0,146,83,35,4.810643218208478,8,3901.11,487.63875
12389.0,49,41,23,3.55953793773304,3,1433.33,477.77666666666664
12390.0,32,32,32,3.3917213770443486,1,549.84,549.84
12391.0,281,241,100,5.079025362684655,6,2773.42,462.2366666666667
12392.0,7,7,7,1.7199837742496757,1,234.75000000000003,234.75000000000003
12393.0,107,63,27,4.518616665326804,6,2399.45,399.9083333333333
12394.0,27,26,21,2.670459026286897,2,1272.48,636.24
12395.0,254,145,52,5.376521433836253,15,5067.27,337.81800000000004
12396.0,65,65,65,4.1426741011528305,1,931.43,931.43
12397.0,126,110,70,4.6404676427879314,2,2409.8999999999996,1204.9499999999998
12398.0,85,85,85,4.135481359459697,1,1635.6599999999999,1635.6599999999999
12399.0,110,67,22,4.587183048807494,7,1962.3000000000002,280.3285714285715
12400.0,11,11,11,2.363419303842888,1,205.25,205.25
12401.0,5,5,5,1.569866607224176,1,84.3,84.3
12402.0,70,43,17,4.203545316791979,6,1256.9,209.48333333333335
12403.0,9,5,5,1.9107652179500467,2,1019.3600000000001,509.68000000000006
12404.0,1,1,1,0.0,1,63.24,63.24
12405.0,54,54,54,3.591552410848523,1,1710.39,1710.39
12406.0,166,114,56,4.846369835644916,5,6390.360000000001,1278.0720000000001
12407.0,77,57,33,4.128911943381856,5,1708.12,341.62399999999997
12408.0,159,104,32,4.763884941959603,8,4340.7699999999995,542.5962499999999
12409.0,264,177,87,5.405016990402709,7,23419.29,3345.612857142857
12410.0,40,36,22,3.4287565517591077,3,1013.7099999999999,337.9033333333333
12411.0,22,22,22,2.941244759632891,1,346.9,346.9
12412.0,127,82,31,4.628023840775182,6,2596.93,432.82166666666666
12413.0,51,41,24,3.808942618530541,4,999.45,249.8625
12414.0,28,21,8,3.003976775809912,6,952.41,158.73499999999999
12416.0,11,11,11,2.3239628790595295,1,202.56,202.56
12417.0,370,270,35,5.799156942970674,20,6816.91,340.8455
12418.0,102,90,34,4.322548569505966,4,2021.2,505.3
12419.0,25,23,20,2.959701373259311,2,503.01,251.505
12420.0,29,29,29,3.2764657357097766,1,600.39,600.39
12421.0,65,44,16,4.019093182408395,6,1098.6,183.1
12422.0,172,137,27,4.494556005485144,17,5231.8,307.7529411764706
12423.0,165,128,27,4.980810942289412,10,2622.39,262.239
12424.0,92,78,47,4.126855772153614,4,3340.03,835.0075
12425.0,91,87,55,4.372910959321098,2,1741.41,870.705
12426.0,77,73,47,4.225373582720973,2,1345.21,672.605
12427.0,41,26,20,3.529115255381984,3,1129.3,376.43333333333334
12428.0,294,258,98,5.198162672225774,9,7956.46,884.0511111111111
12429.0,173,124,40,4.831969423640035,8,7485.91,935.73875
12430.0,11,11,11,2.237153756492185,1,256.4,256.4
12431.0,405,244,57,5.558662430575281,27,10857.97,402.147037037037
12432.0,108,107,62,4.096387100709902,5,5059.32,1011.8639999999999
12434.0,70,62,34,4.152123532487308,3,1103.43,367.81
12435.0,112,88,32,4.248143478734087,6,13925.93,2320.9883333333332
12436.0,16,16,16,2.6142883784266546,1,509.01,509.01
12437.0,563,273,91,6.1348846414479,39,12683.4,325.2153846153846
12438.0,98,84,49,4.120988222894282,2,2906.85,1453.425
12439.0,72,69,68,4.235664105054769,2,1158.18,579.09
12440.0,32,21,21,3.309863603461791,2,859.2,429.6
12441.0,22,11,22,3.0611572093680506,1,347.1,347.1
12442.0,12,12,12,2.3512234894738677,1,172.06,172.06
12443.0,21,21,21,2.7351231157934315,1,485.31,485.31
12444.0,176,138,90,4.801707678322987,5,5005.46,1001.092
12445.0,24,24,20,3.048719193247145,2,434.98,217.49
